Instance_id,Test detected,File Path
bitflags__bitflags-411,"""true, 28"""
bitflags__bitflags-396,"false, none"
bitflags__bitflags-380,"true, 4 5 6 7 8 9"
bitflags__bitflags-366,"true, 10 23 35 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 81 82"
bitflags__bitflags-355,"true, 0 29 30 31 32 33 34"
bitflags__bitflags-351,"true, 1 12 13 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93"
bitflags__bitflags-345,"true, 11"
bitflags__bitflags-341,"""true, 5"""
bitflags__bitflags-338,"false, none"
bitflags__bitflags-336,"true, 5"
bitflags__bitflags-330,"false, none"
bitflags__bitflags-328,"false, none"
bitflags__bitflags-324,"true, 0 6"
bitflags__bitflags-321,"true, 0"
bitflags__bitflags-316,"true, 2 3"
bitflags__bitflags-301,"""false, none"""
bitflags__bitflags-294,"""false, none"""
bitflags__bitflags-289,"""false, none"""
bitflags__bitflags-282,"true, 0 38 39 40 41 42 43 44 45 46 47 48 49 55 56 57 58 60 88 89"
bitflags__bitflags-281,"true, 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32"
bitflags__bitflags-276,"true, 2 3 4"
bitflags__bitflags-268,"true, 1 2 3 4 5"
bitflags__bitflags-266,"true, 1"
bitflags__bitflags-252,"""false, none"""
bitflags__bitflags-245,"""false, none"""
bitflags__bitflags-225,"true, 11 12 13 14 15 16 17 18 19 20"
bitflags__bitflags-220,"""false, none"""
bitflags__bitflags-211,"true, 1"
bitflags__bitflags-199,"true, 0 1 2 3 4"
bitflags__bitflags-197,"false, none"
bitflags__bitflags-186,"true, 1"
bitflags__bitflags-183,"false, none"
bitflags__bitflags-181,"""false, none"""
bitflags__bitflags-157,"true, 0 2"
bitflags__bitflags-135,"true, 1"
bitflags__bitflags-127,"true, 2 5 6 7 8"
bitflags__bitflags-125,"true, 1"
bitflags__bitflags-124,"false, none"
bitflags__bitflags-115,"false, none"
bitflags__bitflags-112,"true, 4"
bitflags__bitflags-102,"false, none"
bitflags__bitflags-101,"true, 0"
bitflags__bitflags-100,"""false, none"""
bitflags__bitflags-99,"false, none"
bitflags__bitflags-90,"false, none"
bitflags__bitflags-87,"true, 7 8 9 10 11 12 13"
bitflags__bitflags-86,"true, 2 3"
bitflags__bitflags-85,"true, 1"
bitflags__bitflags-74,"true, 2"
bitflags__bitflags-62,"true, 0 1"
bitflags__bitflags-38,"true, 6"
bitflags__bitflags-29,"false, none"
bitflags__bitflags-24,"true, 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28"
bitflags__bitflags-23,"false, none"
bitflags__bitflags-12,"false, none"
