instance_id,bug_type,difficulty,number_of_hunks,loc,function_scope
apache__arrow-rs-4351,control flow error,moderate,3,18,2
apache__arrow-rs-4343,state management error,moderate,1,50,1
apache__arrow-rs-4327,"algorithm design flaws, data handling error",moderate,1,52,1
apache__arrow-rs-5439,algorithm design flaws,moderate,2,20,2
apache__arrow-rs-443,resource mismanagement,hard,2,16,2
apache__arrow-rs-4201,state management error,hard,1,83,1
apache__arrow-rs-5717,data handling error,moderate,1,36,1
apache__arrow-rs-6269,"algorithm design flaws, data handling error",moderate,1,30,1
apache__arrow-rs-2377,data handling error,moderate,2,118,12
apache__arrow-rs-5092,state management error,moderate,1,8,1
apache__arrow-rs-5076,data handling error,moderate,5,154,2
apache__arrow-rs-2890,calculation error,moderate,8,56,5
apache__arrow-rs-4681,data handling error,moderate,5,112,6
apache__arrow-rs-4670,data handling error,moderate,1,1,1
apache__arrow-rs-4598,state management error,moderate,1,10,1
apache__arrow-rs-6368,data handling error,moderate,5,93,4
apache__arrow-rs-4909,data handling error,easy,1,72,1
apache__arrow-rs-2044,algorithm design flaws,moderate,6,118,5
apache__arrow-rs-3222,algorithm design flaws,moderate,5,42,3
apache__arrow-rs-3238,data handling error,moderate,5,128,1
apache__arrow-rs-3188,data handling error,moderate,3,12,2
apache__arrow-rs-4045,calculation error,moderate,1,6,1
apache__arrow-rs-3811,data handling error,easy,1,14,1
asterinas__asterinas-1138,data handling error,moderate,1,10,1
bitflags__bitflags-411,algorithm design flaws,moderate,3,67,5
bitflags__bitflags-355,data handling error,moderate,6,79,5
bitflags__bitflags-351,compatibility issue,moderate,6,340,6
bitflags__bitflags-345,data handling error,easy,2,112,1
bitflags__bitflags-341,syntax error,moderate,1,365,1
bitflags__bitflags-281,algorithm design flaws,moderate,2,70,1
bitflags__bitflags-268,data handling error,moderate,1,3,1
bitflags__bitflags-266,data handling error,moderate,1,2,1
